"","x"
"2908","CF828777"
"2909","CN186896"
"2910","CX294657"
"2911","CX635902"
"2912","CX674701"
"2913","CX291410"
"2914",""
"2915","CK935896"
"2916","CX043460"
"2917","CV707318"
"2918","CX302017"
"2919","CX673686"
"2920","CV885652"
"2921","CD574891"
"2922","CF833599"
"2923","CX076428"
"2924","CX638633"
"2925","CV709248"
"2926","CF509582"
"2927","CX071472"
"2928","DN797885"
"2929","CB290390"
"2930","DN624484"
"2931","CX044443"
"2932","CX671187"
"2933","CK702304"
"2934","CK938308"
"2935","CF418343"
"2936","CD574739"
"2937","CX070430"
"2938","CX668706"
"2939","CX044986"
"2940","CX069870"
"2941","CX546075"
"2942","CX301439"
"2943","CX045095"
"2944","DN957767"
"2945","CX672324"
"2946","CB610836"
"2947","CF504251"
"2948",""
"2949","DN623762"
"2950","DN624800"
"2951","CK937930"
"2952","CX644349"
"2953",""
"2954","CX302189"
"2955","CX667753"
"2956","CF418109"
"2957","CX306886"
"2958","CX635299"
"2959","CV715181"
"2960","CX072926"
"2961","DN619879"
"2962","CX297676"
"2963","CV717993"
"2964","CB290354"
"2965","CX053874"
"2966","CX638251"
"2967","CB293004"
"2968","DN795163"
"2969","CN184048"
"2970","CB292432"
"2971","CX287851"
"2972","CX049088"
"2973","CX300551"
"2974","CX053660"
"2975","CX637013"
"2976","CF828890"
"2977","CX048355"
"2978","DN799010"
"2979","CV712945"
"2980","CX293380"
"2981","CN185017"
"2982","DN798413"
"2983","CX640372"
"2984","CF420590"
"2985","CX043797"
"2986","DT214672"
"2987","CX669844"
"2988","CK702097"
"2989","CX049834"
"2990","CX545802"
"2991","CF508799"
"2992","CX073415"
"2993","CX072633"
"2994","CX303305"
"2995","CK938326"
"2996","CK935792"
"2997","CV713694"
"2998","CX676313"
"2999","DN625114"
"3000","CX544869"
"3001","CX665604"
"3002","CX641393"
"3003","CV719667"
"3004","DN621230"
"3005","CX074706"
"3006","CX640376"
"3007","CX290618"
"3008","CX046065"
"3009","CX291851"
"3010","CF835585"
"3011","CX663450"
"3012","CV705450"
"3013","CX075989"
"3014","CX674742"
"3015","DN620340"
"3016","CX047554"
"3017","CF653472"
"3018","CX672012"
"3019","CX664077"
"3020","DN798462"
"3021","CX544709"
"3022","CX305675"
"3023","CX642273"
"3024","CX300260"
"3025","CX069999"
"3026","CF838857"
"3027","CX640426"
"3028","CV886691"
"3029","DN798772"
"3030","DN795392"
"3031","CV716616"
"3032","CX053309"
"3033","CX545280"
"3034","CK933332"
"3035","CX672909"
"3036","CF417478"
"3037","CX546408"
"3038","CX675630"
"3039","CX069697"
"3040","CF508113"
"3041","CF837638"
"3042",""
"3043","CV708932"
"3044","CO912653"
"3045","CV710416"
"3046","CN186805"
"3047","CX666995"
"3048","CN186649"
"3049","CX638886"
"3050","CF829158"
"3051","CV706401"
"3052","CX297992"
"3053","CF828125"
"3054","CX306061"
"3055","CV714280"
"3056","CV704474"
"3057","CK936701"
"3058","CV707405"
"3059","CV709021"
"3060","CX673933"
"3061","CF509223"
"3062","CF835108"
"3063","CK939929"
"3064","CV884788"
"3065","CF830836"
"3066","CV706396"
"3067","CX672850"
"3068","CX045902"
"3069","CX544103"
"3070","CX299309"
"3071","CX048770"
"3072","CX668956"
"3073","CX543131"
"3074","DT214481"
"3075","CF417638"
"3076","CV713330"
"3077","CV712225"
"3078","CX673278"
"3079","CF508961"
"3080","CF834183"
"3081","CD575509"
"3082","CX045148"
"3083","CX674779"
"3084","DN797815"
"3085","CX074706"
"3086","CN189396"
"3087","DN617951"
"3088","CX673436"
"3089","CD575052"
"3090","CX288870"
"3091","CX302451"
"3092","CV885617"
"3093","CN183452"
"3094","CF510057"
"3095","CX663933"
"3096","CK938599"
"3097","CN182293"
"3098","CX292178"
"3099","DN622472"
"3100","CX308745"
"3101","CX303067"
"3102","CX298290"
"3103","CB291126"
"3104","CX297240"
"3105","CV714982"
"3106","CK701797"
"3107","CK939226"
"3108","CX287128"
"3109","CK933917"
"3110","CX670069"
"3111","CB290277"
"3112","CX668244"
"3113","CV716056"
"3114","CX664043"
"3115","CX669831"
"3116","DN959283"
"3117","CV886812"
"3118","BQ623066"
"3119","CF417866"
"3120","DN623681"
"3121","CX051279"
"3122","CD575177"
"3123","CX293496"
"3124","CF507231"
"3125","CV711422"
"3126","CK932995"
"3127","CX076887"
"3128","CF504187"
"3129","CN182737"
"3130","CX666033"
"3131","CX545890"
"3132","CX665779"
"3133","DN623522"
"3134","CX665719"
"3135","CX291612"
"3136","CX638482"
"3137","CX288476"
"3138","CX637391"
"3139","CX078334"
"3140","CF836134"
"3141","DN618897"
"3142","CK933290"
"3143","CV719529"
"3144","BQ624623"
"3145","CX287567"
"3146","CV714402"
"3147","CX641450"
"3148","CX635637"
"3149","CV714067"
"3150","CX293269"
"3151","DN622955"
"3152","DN621425"
"3153","DN795787"
"3154","CN183536"
"3155","CX076685"
"3156","CF832006"
"3157","CF418015"
"3158",""
"3159","CX301958"
"3160","DN958222"
"3161","CN185691"
"3162","CV710311"
"3163","CX636009"
"3164","CV704222"
"3165","BQ623915"
"3166","CN190623"
"3167","CV704972"
"3168","BQ624083"
"3169","CX289333"
"3170","BQ623620"
"3171","CX669557"
"3172","CX049639"
"3173","CB322174"
"3174","CK937107"
"3175","CB304757"
"3176","CX072573"
"3177",""
"3178","CX637677"
"3179","CX670525"
"3180","CX639318"
"3181","CK934577"
"3182","CB290370"
"3183","CV707912"
"3184","CN181757"
"3185","DN622281"
"3186","CB293303"
"3187","CV714515"
"3188","CX639292"
"3189","CX046015"
"3190","CV713390"
"3191","CV708104"
"3192","CF509944"
"3193","CX292157"
"3194","CX046745"
"3195","DN623992"
"3196","CX641027"
"3197","DN795505"
"3198","CV715273"
"3199","CX673436"
"3200","CK739998"
"3201","CX292490"
"3202","BQ623039"
"3203","CF418034"
"3204","CF833284"
"3205","CF509021"
"3206","CK935334"
"3207","CX074212"
"3208","CX665545"
"3209","CX638920"
"3210","CK937847"
"3211","CX302543"
"3212","CX078400"
"3213","CX294342"
"3214","CX544710"
"3215","CF838040"
"3216","CX045418"
"3217","CX076408"
"3218","CX046914"
"3219","CX666893"
"3220","CK938964"
"3221","CX673585"
"3222","CX298411"
"3223","CF505254"
"3224","CX071473"
"3225","BQ624302"
"3226","CX298015"
"3227","CF832579"
"3228","CV885822"
"3229","CX673597"
"3230","CX637793"
"3231","CV715433"
"3232","CF418084"
"3233","CB304640"
"3234","CK936055"
"3235","CX048559"
"3236","CF509564"
"3237","CX301076"
"3238","CX074173"
"3239","CV714373"
"3240","CX670980"
"3241","DR911271"
"3242","CX665894"
"3243","CX052646"
"3244","CV717671"
"3245","CX636468"
"3246","CX672400"
"3247","CV710742"
"3248","CX289715"
"3249","CX640613"
"3250",""
"3251","CN182725"
"3252","CX669253"
"3253","CX637812"
"3254","CX299799"
"3255","DN795694"
"3256","CX639313"
"3257","DN621146"
"3258","CX669790"
"3259","CX072453"
"3260","CV716292"
"3261","CX666585"
"3262","CB292069"
"3263","CX672096"
"3264","DT214579"
"3265","CX047732"
"3266","CX673503"
"3267","CX637899"
"3268","CB293208"
"3269","CF831383"
"3270","CX638002"
"3271","CX666502"
"3272","CK933613"
"3273","CV714483"
"3274","CX294223"
"3275","CD575150"
"3276","CB293418"
"3277","CK936384"
"3278","CX665460"
"3279","CX545667"
"3280","CD574968"
"3281","CX053346"
"3282","CF417472"
"3283","CX074089"
"3284","CX294753"
"3285","CV884772"
"3286","CF420640"
"3287","DN622979"
"3288","CX295838"
"3289","CX074054"
"3290","CX299032"
"3291","CK932845"
"3292","CX291060"
"3293","CK934396"
"3294","CX308789"
"3295","CK938166"
"3296","CX070770"
"3297","CX667704"
"3298","CX305965"
"3299","CX287445"
"3300","CK938935"
"3301","CX299462"
"3302","CX672222"
"3303","DR404607"
"3304","CX669636"
"3305","CX298932"
"3306","CX289008"
"3307","CF837336"
"3308","CV704560"
"3309","CX637132"
"3310","CX047468"
"3311","CX544291"
"3312","CF419535"
"3313","CN190432"
"3314","CN188759"
"3315","CV704760"
"3316","CF653184"
"3317","CX671291"
"3318","CX075867"
"3319","CX070042"
"3320","CV718313"
"3321","CD574205"
"3322","CV715984"
"3323","CX291381"
"3324","CX638136"
"3325","CV716026"
"3326","CX051660"
"3327","CF653144"
"3328","CX070539"
"3329","CV706886"
"3330","CF834794"
"3331","CD575310"
"3332","CN189510"
"3333","CF653150"
"3334","DN618786"
"3335","CV884821"
"3336","CN182100"
"3337","CX071629"
"3338","CX047320"
"3339","CV713738"
"3340","CX665478"
"3341","CK936489"
"3342","CD575272"
"3343","CK739654"
"3344","CD574893"
"3345","CV714119"
"3346","CV884393"
"3347","CF830177"
"3348","CV711919"
"3349","CX670696"
"3350","CV706025"
"3351","CX670386"
"3352","DN957946"
"3353","CF829935"
"3354","CN183532"
"3355","CX299607"
"3356","CX070958"
"3357","CX674883"
"3358","CV717282"
"3359","CX307762"
"3360","CK938058"
"3361","CF831574"
"3362","CX297191"
"3363",""
"3364","CX668076"
"3365","CX069447"
"3366","CB291470"
"3367","CX072557"
"3368","CX664242"
"3369","CX294483"
"3370","CX294812"
"3371","CB290678"
"3372","CX309209"
"3373","CX050314"
"3374","CX077246"
"3375","CV719766"
"3376","CX050906"
"3377","CK936852"
"3378","CV705691"
"3379","DN795537"
"3380","CX047437"
"3381","CX674418"
"3382","CV714352"
"3383","CX078364"
"3384","CF417957"
"3385","CB291604"
"3386","CN186739"
"3387","CX287424"
"3388","CO913197"
"3389","CK739560"
"3390","CX043740"
"3391","CB291312"
"3392","CK933158"
"3393","CD574912"
"3394","CF829647"
"3395","DT214563"
"3396","CV886023"
"3397","CF833680"
"3398","CX668190"
"3399","CF828325"
"3400","CK939577"
"3401","CX639719"
"3402","DN797691"
"3403","DN625144"
"3404","CD573881"
"3405","CX299605"
"3406","CK936429"
"3407","CX675855"
"3408","CX671749"
"3409","CD573801"
"3410","CV704590"
"3411","CX666608"
"3412","BQ623844"
"3413",""
"3414","CX305337"
"3415","CN182741"
"3416","CX642615"
"3417","CX049693"
"3418","CV710585"
"3419","CX644692"
"3420","CV704692"
"3421","CD574152"
"3422","CF417969"
"3423","CD576650"
"3424","DN625516"
"3425","CV708837"
"3426","CX669388"
"3427","CX639800"
"3428","CX078006"
"3429","CD574756"
"3430","CX639820"
"3431","CX637140"
"3432","CK935733"
"3433",""
"3434","CX636704"
"3435","CV712960"
"3436","CX675061"
"3437","CV886538"
"3438","CN189743"
"3439","CX053466"
"3440","CB292046"
"3441","CX297031"
"3442","CX045706"
"3443","CX305965"
"3444","CK937360"
"3445","CF829852"
"3446","CX293822"
"3447","CX639958"
"3448","DN959846"
"3449","DN623445"
"3450","CD575578"
"3451","CX074576"
"3452","CN183550"
"3453","CX288336"
"3454","CX666134"
"3455","CX673811"
"3456","CX669077"
"3457","CX072554"
"3458","CK935207"
"3459","CX675696"
"3460","CK936742"
"3461","CX643554"
"3462","CX672759"
"3463","DN798946"
"3464","CX051267"
"3465","DN620996"
"3466","CX670133"
"3467","CN182750"
"3468","CN192429"
"3469","C81735"
"3470","CF834615"
"3471","CX043470"
"3472","CK936743"
"3473","CX639534"
"3474","CV715075"
"3475","CX669218"
"3476","CF837040"
"3477","CN188083"
"3478","CK932698"
"3479","AU300734"
"3480","CN183680"
"3481","CX303857"
"3482","CX297399"
"3483","CX638096"
"3484","CX046948"
"3485","DN624397"
"3486","CX076329"
"3487","CV718635"
"3488","CK936382"
"3489","CX300660"
"3490","CX635375"
"3491","CX048918"
"3492","CX287400"
"3493","CD576594"
"3494","CX306603"
"3495","CX643452"
"3496","CF653595"
"3497","CX545473"
"3498","CX641817"
"3499","CK937853"
"3500","CF836146"
"3501","DN795170"
"3502","CX075619"
"3503","CX668843"
"3504","CX295423"
"3505","DN957786"
"3506","CX294098"
"3507","DN623512"
"3508","CF504353"
"3509","CX070869"
"3510","CX069502"
"3511","CX075950"
"3512","CX048159"
"3513","DN795308"
"3514","CX296994"
"3515","CX297799"
"3516","DN618241"
"3517","CV715630"
"3518","CV884517"
"3519","BQ625134"
"3520","CK665198"
"3521","CV884692"
"3522","CX672111"
"3523","CX545046"
"3524","CN191268"
"3525","CX673259"
"3526","CX046998"
"3527","DR404298"
"3528","CF838554"
"3529","CX675998"
"3530","CF837551"
"3531","DN618820"
"3532","CX071788"
"3533","DN799084"
"3534","CV707423"
"3535","CF835925"
"3536","CK933774"
"3537","CX074402"
"3538","CX674428"
"3539","CX292853"
"3540","CX674913"
"3541","CF503849"
"3542","DN797420"
"3543","CV706305"
"3544","CV719481"
"3545","CK939570"
"3546","BQ623612"
"3547","CN187972"
"3548","CK934106"
"3549","CF509680"
"3550","CV884884"
"3551","CX546195"
"3552","CF833135"
"3553","CX073693"
"3554","CF836362"
"3555","CF506971"
"3556","CV709330"
"3557","CX053771"
"3558","C24314"
"3559","CX643600"
"3560","CK936051"
"3561","CX077475"
"3562","DN621131"
"3563","CK939180"
"3564","DN620964"
"3565","CX637077"
"3566","CK935741"
"3567","CV707954"
"3568","CX672999"
"3569","CO912894"
"3570",""
"3571","CX289470"
"3572","CB304804"
"3573","CX294284"
"3574","CX297005"
"3575","CF830086"
"3576","CN190575"
"3577","CX641371"
"3578","CK665727"
"3579","DR403595"
"3580","CX545930"
"3581","CF417516"
"3582","CX044594"
"3583","CK936720"
"3584","CV711535"
"3585","DN622228"
"3586","CX544747"
"3587","CX288201"
"3588","CX307279"
"3589","CV716942"
"3590","CX667864"
"3591","CF508517"
"3592","DN619055"
"3593","CX049777"
"3594","CX300858"
"3595","CB293183"
"3596","DN622977"
"3597","CK936730"
"3598","CX288577"
"3599","CV885959"
"3600","CK665377"
"3601","CD574091"
"3602","CV712194"
"3603","CO912568"
"3604","CN187192"
"3605","CX673467"
"3606","CV711872"
"3607","CN182747"
"3608","CX663652"
"3609","CV710307"
"3610","CX071680"
"3611",""
"3612","CN183487"
"3613","CV718472"
"3614","CX673772"
"3615","DT214568"
"3616",""
"3617","CN186333"
"3618","CF835188"
"3619","CK939987"
"3620","CB610649"
"3621","CD574378"
"3622","CX666461"
"3623","CX543760"
"3624","CV706763"
"3625","CK940006"
"3626","CX672074"
"3627","DR405603"
"3628","CX674240"
"3629","CX044081"
"3630","CV709553"
"3631","CO912548"
"3632","CX077659"
"3633","CB291213"
"3634","CF509584"
"3635","CF507739"
"3636","CB291081"
"3637","CF505470"
"3638","CX636569"
"3639","CK936991"
"3640","C95302"
"3641","CX639069"
"3642","DN618717"
"3643","CK739447"
"3644","CX544721"
"3645","CV719827"
"3646","CX306396"
"3647","CX292108"
"3648","CV709642"
"3649","CV713022"
"3650","CX046525"
"3651","CX306102"
"3652","CB291517"
"3653","CX071513"
"3654","CX675781"
"3655","CV719192"
"3656","CV706854"
"3657","CX046987"
"3658","CX673068"
"3659","CB290370"
"3660","CX302269"
"3661","CV718534"
"3662","CD574046"
"3663","CK933946"
"3664","CB292348"
"3665","CX543098"
"3666","CX305986"
"3667","CN192263"
"3668","CN187021"
"3669","CV712068"
"3670","CX053553"
"3671","CX301223"
"3672","CX638157"
"3673","CX663894"
"3674","CK933956"
"3675","CV715916"
"3676","CD576147"
"3677","CX663526"
"3678","CX306452"
"3679","DN960017"
"3680","CD574358"
"3681","CF507714"
"3682","DN959570"
"3683","CF837089"
"3684","CX638404"
"3685","CX071634"
"3686","CV713820"
"3687","DN959836"
"3688","CX306196"
"3689","DN795761"
"3690","CV707206"
"3691","BQ624419"
"3692","CN187531"
"3693","CX673620"
"3694","CN191590"
"3695","CX545729"
"3696","CX669248"
"3697","DT214527"
"3698","CX077003"
"3699","CX666749"
"3700","DN798778"
"3701","CX287012"
"3702","CX293675"
"3703","CX046137"
"3704","DN622273"
"3705","CV707208"
"3706","CX644460"
"3707","CX048869"
"3708","DN625838"
"3709","CV710998"
"3710","DN620224"
"3711","CK939963"
"3712","CV704691"
"3713","CV885659"
"3714","CX305211"
"3715","DN958357"
"3716","CX073637"
"3717","CV886199"
"3718","CV707668"
"3719","CF832466"
"3720","CX290603"
"3721","CX305057"
"3722","CV715651"
"3723","CV718250"
"3724","CD575247"
"3725","DN960244"
"3726",""
"3727","CN184748"
"3728","CX636987"
"3729","CX544117"
"3730","CK933990"
"3731","CX295072"
"3732","CK936730"
"3733","CX669076"
"3734","CX298570"
"3735","C22086"
"3736","CN187835"
"3737","CB292558"
"3738","CV712576"
"3739","CF508014"
"3740","CX636683"
"3741","CX043501"
"3742","CV710792"
"3743","CV706169"
"3744","CV717243"
"3745","CK939231"
"3746","CV718965"
"3747","CX665648"
"3748","CX077564"
"3749","CV711094"
"3750","CK933268"
"3751","CX069702"
"3752","CF505126"
"3753","CX300269"
"3754","CV713245"
"3755","CN183572"
"3756","CX674949"
"3757",""
"3758","CX043642"
"3759","DN795136"
"3760","CX670651"
"3761","CX293198"
"3762","CX297042"
"3763","CN188503"
"3764","CX072036"
"3765","CX641152"
"3766","CF833037"
"3767","CB293841"
"3768","CV887084"
"3769","CX667516"
"3770","CX072693"
"3771","CX305088"
"3772","CF837170"
"3773","CV885132"
"3774","CX045037"
"3775","CX673231"
"3776","CN191062"
"3777","CN185682"
"3778","CX290573"
"3779","CX303678"
"3780","CX051784"
"3781","CX046600"
"3782","CX670347"
"3783","CX049080"
"3784","CX637094"
"3785","CX053014"
"3786","CX669012"
"3787","CX044110"
"3788","CV719678"
"3789","CD574756"
"3790","DN621718"
"3791","CX075681"
"3792","CX071348"
"3793","CF835645"
"3794","CK935224"
"3795","CV706497"
"3796","CX545655"
"3797","CB293858"
"3798","DT214713"
"3799","CX299212"
"3800","CK702175"
"3801","CX543100"
"3802","CX672393"
"3803","CX663314"
"3804","CF833987"
"3805","CK936756"
"3806","CK740200"
"3807","CX670098"
"3808","CF833089"
"3809","CV704219"
"3810","CV706455"
"3811","CX051633"
"3812","DR405575"
"3813","CF835710"
"3814","CX045894"
"3815","DN622282"
"3816","CX673058"
"3817","CD573639"
"3818","CX077672"
"3819","CX287217"
"3820","CX075364"
"3821","CX302321"
"3822","CX671821"
"3823","CN189434"
"3824","CV713936"
"3825","DN619389"
"3826","CD573840"
"3827","CX304695"
"3828","CX544425"
"3829","CV712091"
"3830","CX294852"
"3831","CX302585"
"3832","DN622776"
"3833","CX046625"
"3834","CF832499"
"3835","CV705566"
"3836","CV887214"
"3837","CV716768"
"3838","DN960257"
"3839","CX644365"
"3840","CX544329"
"3841","CX636343"
"3842","CX287012"
"3843","DT214562"
"3844","DN625303"
"3845","CD574621"
"3846","DN622120"
"3847","DT214481"
"3848","CK936170"
"3849","DN796736"
"3850","BQ625203"
"3851","CX674909"
"3852","CX072681"
"3853","CX673343"
"3854","DR403330"
"3855","CX674893"
"3856","CX304720"
"3857","DN618722"
"3858","CX297992"
"3859","CX635301"
"3860","CF834042"
"3861","CF504621"
"3862","CX675456"
"3863","CK936515"
"3864","DN795189"
"3865","CX671781"
"3866","CX076658"
"3867","CX052187"
"3868","CX050460"
"3869","DT214657"
"3870","CX295253"
"3871","CB293561"
"3872","DN799464"
"3873","CO913011"
"3874","CX644808"
"3875","DN621607"
"3876","CF833411"
"3877","CX636332"
"3878","CX544771"
"3879","CX295208"
"3880","CB292623"
"3881","CD575267"
"3882","CN186928"
"3883","CV706185"
"3884","DN797322"
"3885","CX546610"
"3886","CN189931"
"3887","CF837531"
"3888","CN182165"
"3889","CX302065"
"3890","CK935403"
"3891","CX295792"
"3892","CX668385"
"3893","CX053444"
"3894","CX292420"
"3895","CF829014"
"3896","CX664199"
"3897","CK740163"
"3898","CN191124"
"3899","CV716360"
"3900","CV718947"
"3901","CV710181"
"3902","CK932853"
"3903","CX074029"
"3904","C81797"
"3905","AU186404"
"3906","CB610697"
"3907","CX672329"
"3908","CX642046"
"3909","CF508128"
"3910","CN182835"
"3911","CV713786"
"3912","DT214664"
"3913","CK935473"
"3914","CK933076"
"3915","CX545575"
"3916","CX641767"
"3917","CX047031"
"3918","CB610729"
"3919","CX294853"
"3920","CX044001"
"3921","DN617872"
"3922","CV710861"
"3923","CX074573"
"3924","CF418649"
"3925","CX305049"
"3926","CX045458"
"3927","CX290705"
"3928","CX544074"
"3929","CV718218"
"3930","DN957738"
"3931","CX044709"
"3932","CX300005"
"3933","CX072870"
"3934","CK936355"
"3935","CD575746"
"3936","CF836476"
"3937","CX642348"
"3938",""
"3939","CO913181"
"3940","CX286971"
"3941","CF829557"
"3942","DN797080"
"3943","CX639609"
"3944","DN625227"
"3945","CF835785"
"3946","CV719715"
"3947","CF509355"
"3948","CK739935"
"3949","CK937903"
"3950","CX072961"
"3951","C81675"
"3952","CX292770"
"3953","CF835888"
"3954","CV717630"
"3955","CB292521"
"3956","CF509729"
"3957","CX044807"
"3958","DN622050"
"3959","CV716442"
"3960","CX287468"
"3961","CX546817"
"3962","CV714773"
"3963","CF837713"
"3964","CX674748"
"3965","CX638111"
"3966","CX308796"
"3967","CX051014"
"3968","CX303352"
"3969","CX071661"
"3970","CV706063"
"3971","CD573856"
"3972","DN795654"
"3973","CB290400"
"3974","CV718375"
"3975","CX045776"
"3976","CX638335"
"3977","AJ489096"
"3978","CK934015"
"3979","AU300400"
"3980","CV711585"
"3981","CX049615"
"3982","DR405716"
"3983","CV709904"
"3984","CF419474"
"3985","CX306465"
"3986","DN622035"
"3987","CV711240"
"3988","CV884711"
"3989","CX295751"
"3990","CV887326"
"3991","CX301498"
"3992","CX044104"
"3993","CX298643"
"3994","CN187710"
"3995","BQ624846"
"3996","CX674833"
"3997","CX676351"
"3998","CF417203"
"3999","CX673765"
"4000","CX669149"
"4001","DN622781"
"4002","CX635178"
"4003","CK939377"
"4004","CV704272"
"4005","CX048924"
"4006","CX664109"
"4007","CX288437"
"4008","CF837968"
"4009","CX674915"
"4010","CX671762"
"4011","CF836962"
"4012","DN625079"
"4013","CX636220"
"4014","DN622263"
"4015","CK937287"
"4016","CX046034"
"4017","CX076508"
"4018","DN622894"
"4019","CN182162"
"4020","CX069447"
"4021","CX668300"
"4022","CX638776"
"4023","CX635491"
"4024","C95463"
"4025","CK936630"
"4026","CX046632"
"4027","CX077288"
"4028","CV715902"
"4029","CV715889"
"4030","CX675637"
"4031","CF832155"
"4032","CX641923"
"4033","CV885844"
"4034","CF417203"
"4035","CX637781"
"4036","CX046656"
"4037","CX293805"
"4038","CX637561"
"4039","CX666928"
"4040","BQ624559"
"4041","CX295885"
"4042","CF836772"
"4043","CX302112"
"4044","CX046212"
"4045","CB293424"
"4046","CK937094"
"4047","CV707277"
"4048","CX070014"
"4049","DN620207"
"4050","CX305691"
"4051","CX303072"
"4052","DN798141"
"4053","DN619087"
"4054","CN191360"
"4055","CF832452"
"4056","CK937177"
"4057","CV715554"
"4058","CN191211"
"4059","DN620803"
"4060","CV714255"
"4061","CN190565"
"4062","CD574876"
"4063","CK934775"
"4064","DN960189"
"4065","CX045153"
"4066","CB291835"
"4067","CN189918"
"4068","CX668221"
"4069","CN183059"
"4070","CN182989"
"4071","CX666659"
"4072","CK935587"
"4073","CX043719"
"4074","CX045519"
"4075","DN798887"
"4076","CK702214"
"4077","CB610739"
"4078","CX071860"
"4079","CN186784"
"4080","CX298106"
"4081","CB292276"
"4082","CD574549"
"4083","CX051481"
"4084","CK937160"
"4085","CO912523"
"4086","CV885585"
"4087","CX046212"
"4088","DN798826"
"4089","CF837668"
"4090","CK701841"
"4091","CF835838"
"4092","CV717366"
"4093","CX673829"
"4094","CV884724"
"4095","CK935778"
"4096","CX545154"
"4097","CK935789"
"4098","CX292966"
"4099","CK665498"
"4100","CF829252"
"4101","DN619110"
"4102","CK940088"
"4103","CX301940"
"4104","CN182685"
"4105","DN797187"
"4106","CK938056"
"4107","CK933293"
"4108","CX298857"
"4109","CD573702"
"4110","CN188681"
"4111","CX045519"
"4112","CX288432"
"4113","CX670711"
"4114","CX665164"
"4115","CB304639"
"4116","CX670983"
"4117","CX673535"
"4118","CX052326"
"4119","DN799021"
"4120","AJ489051"
"4121","CX074274"
"4122","CX295276"
"4123","CB292635"
"4124","CV705558"
"4125","CK937734"
"4126","DN799479"
"4127","CB292174"
"4128","CD575460"
"4129","CX674093"
"4130","CX664438"
"4131","CV885989"
"4132","DN797365"
"4133","CK938657"
"4134","DN623815"
"4135","CX298333"
"4136","CB292132"
"4137","CX668058"
"4138","DN624472"
"4139","CX638209"
"4140","CX303431"
"4141","CF837968"
"4142","CX299099"
"4143","CX303148"
"4144","CB292401"
"4145","CX635495"
"4146","CX301618"
"4147","CX070296"
"4148","CK934881"
"4149","CK936741"
"4150","CF507855"
"4151","CB305071"
"4152","CF828127"
"4153","CX300885"
"4154","CX308038"
"4155","CN186715"
"4156","CB293314"
"4157","CN192472"
"4158","CK937430"
"4159","CV886565"
"4160","CV713760"
"4161","CK933429"
"4162","CX664036"
"4163","DN957622"
"4164","CX045825"
"4165","CF830679"
"4166","CK938066"
"4167","CB293202"
"4168","CV715041"
"4169","CB417424"
"4170","CF417783"
"4171","CF837714"
"4172","CX304900"
"4173","CV720006"
"4174","CX048331"
"4175","CX307176"
"4176","DR403982"
"4177","CX666534"
"4178","CX296999"
"4179","CX296261"
"4180","CX043304"
"4181","CB290348"
"4182","CX045485"
"4183","CN184266"
"4184","CD574628"
"4185","CX638433"
"4186","CX289720"
"4187","CK937178"
"4188","DN622378"
"4189","CB305144"
"4190","CK938173"
"4191","CX665146"
"4192","CX301461"
"4193","CD576001"
"4194","CX052326"
"4195","CN187426"
"4196","CD575523"
"4197","CX643181"
"4198","CX045238"
"4199","CN187333"
"4200","DN622468"
"4201","DR403643"
"4202","CX642298"
"4203","CF828819"
"4204","DN623115"
"4205","BQ624276"
"4206","DN625183"
"4207","CF838069"
"4208","CK938321"
"4209","CD575348"
"4210","CN189558"
"4211","CK937007"
"4212","CX044592"
"4213","CN183354"
"4214","CX050532"
"4215","CD575604"
"4216","CV714255"
"4217","CX671347"
"4218","CX675636"
"4219","CX665286"
"4220","CX305342"
"4221","CF838317"
"4222","CX674802"
"4223","CB293394"
"4224","CX046246"
"4225","CN188704"
"4226","CX048331"
"4227","CV715626"
"4228","CF833180"
"4229","DN959648"
"4230","CX051553"
"4231","CK702581"
"4232","CV706718"
"4233","CX663425"
"4234","CX666534"
"4235","CV713223"
"4236","CN187848"
"4237","CX050243"
"4238","CX295662"
"4239","DR908668"
"4240","CX672647"
"4241","CK937073"
"4242","CX664934"
"4243","CX292287"
"4244","CF835421"
"4245","DN797147"
"4246","BQ625111"
"4247","CX308592"
"4248","CX545968"
"4249","CN187848"
"4250","CX297183"
"4251","CF508329"
"4252","DN622266"
"4253","CX296553"
"4254","CX643055"
"4255","CK935883"
"4256","CK935794"
"4257","DN796780"
"4258","CD576500"
"4259","CF835126"
"4260","CX305408"
"4261","DN618428"
"4262","CV714335"
"4263","CK935516"
"4264","CX302689"
"4265","CB292138"
"4266","DN617716"
"4267","CV708628"
"4268","CF503837"
"4269","CK935950"
"4270","DN958441"
"4271","CX676544"
"4272","CN191069"
"4273","CX075754"
"4274","CX643181"
"4275","CF417649"
"4276","CF835337"
"4277","CX071860"
"4278","CF835616"
"4279","CX043343"
"4280","CX295973"
"4281","CN189659"
"4282","CK940052"
"4283","DN623941"
"4284","CF838561"
"4285","DN618278"
"4286","CX643501"
"4287","CV705011"
"4288","CF837191"
"4289","CX299118"
"4290","CX545154"
"4291","CK938119"
"4292","CX669862"
"4293","CX546648"
"4294","CK936161"
"4295","CF417644"
"4296","DN621135"
"4297","CX306331"
"4298","CX072598"
"4299","CX308858"
"4300","CK937430"
"4301","CX296120"
"4302","BQ625117"
"4303","CX306825"
"4304","CF836861"
"4305","CK937924"
"4306","CX635600"
"4307","CV713657"
"4308","CX076358"
"4309","DN618365"
"4310","CV886307"
"4311","DN623196"
