ID,adj.P.Val,P.Value,logFC,GB_ACC
Cit.13128.1.S1_s_at,0.0001281,1.05e-06,-2.0062582,CX673829
Cit.5806.1.S1_s_at,0.0001303,1.07e-06,-4.8917252,CV884724
Cit.17565.1.S1_at,0.0001303,1.08e-06,-1.9436404,CK935778
Cit.17455.1.S1_at,0.0001303,1.08e-06,-1.7402806,CX545154
Cit.16993.1.S1_s_at,0.0001308,1.09e-06,-2.0217601,CK935789
Cit.18045.1.S1_s_at,0.0001319,1.11e-06,1.9012459,CN185220
Cit.32640.1.S1_at,0.0001319,1.11e-06,-1.8042937,CX292966
Cit.18071.1.S1_at,0.0001321,1.12e-06,1.8409183,CX294438
Cit.30157.1.S1_at,0.0001321,1.12e-06,-2.2983245,CK665498
Cit.8939.1.S1_s_at,0.0001321,1.12e-06,-2.0473688,CF829252
Cit.28855.1.S1_at,0.0001323,1.13e-06,3.1398856,CX543674
Cit.2114.1.S1_at,0.0001323,1.13e-06,-2.906557,DN619110
Cit.5658.1.S1_at,0.0001332,1.14e-06,-3.3021898,CK940088
Cit.17280.1.S1_at,0.000134,1.16e-06,2.166888,CK933171
Cit.33707.1.S1_at,0.000134,1.16e-06,-2.6548458,CX301940
Cit.14266.1.S1_at,0.000134,1.17e-06,1.7028917,CX666282
Cit.6704.1.S1_at,0.000134,1.17e-06,1.809831,CX043276
Cit.7952.1.S1_at,0.000134,1.17e-06,-2.4462613,CN182685
Cit.302.1.S1_s_at,0.0001344,1.18e-06,2.3203464,CF838393
Cit.1714.1.S1_s_at,0.0001344,1.19e-06,1.7382735,CX638382
Cit.14583.1.S1_s_at,0.0001344,1.19e-06,1.5692285,CX069947
Cit.19521.1.S1_s_at,0.0001344,1.19e-06,2.669164,CK936380
Cit.32291.1.S1_at,0.0001369,1.23e-06,1.7694782,CX290256
Cit.30863.1.S1_at,0.0001369,1.23e-06,-2.1850989,DN797187
Cit.4933.1.S1_at,0.0001369,1.23e-06,1.3994294,CF837172
Cit.19718.1.S1_s_at,0.0001369,1.23e-06,-2.0050258,CK938056
Cit.14362.1.S1_at,0.0001385,1.26e-06,-1.3920183,CK933293
Cit.30037.1.S1_at,0.0001385,1.26e-06,5.0814843,CX309407
Cit.33239.1.S1_at,0.0001385,1.27e-06,-1.8344359,CX298857
Cit.2834.1.S1_s_at,0.0001385,1.27e-06,2.8872405,CN187005
Cit.24080.1.S1_s_at,0.0001385,1.27e-06,-1.9469993,CD573702
Cit.19911.1.S1_s_at,0.0001389,1.28e-06,1.7500411,CK935615
Cit.19960.1.S1_at,0.0001392,1.29e-06,1.5651835,CK940092
Cit.19872.1.S1_s_at,0.0001392,1.3e-06,3.8432925,CK934140
Cit.6379.1.S1_at,0.0001392,1.3e-06,-5.7968478,CN188681
Cit.8838.1.S1_s_at,0.00014,1.31e-06,1.8423439,CF417719
Cit.30987.1.S1_at,0.0001402,1.31e-06,1.5721443,CX294586
Cit.20223.1.S1_at,0.0001403,1.32e-06,-2.693606,CX045519
Cit.30146.1.S1_at,0.0001412,1.33e-06,-2.4426668,CX288432
Cit.15606.1.S1_at,0.0001423,1.35e-06,-2.2906193,CX670711
Cit.12500.1.S1_s_at,0.0001423,1.35e-06,-2.811604,CX665164
Cit.22399.1.S1_at,0.0001443,1.38e-06,1.5704526,CB290674
Cit.6312.1.S1_at,0.0001451,1.39e-06,-1.8587775,CB304639
Cit.8718.1.S1_s_at,0.0001451,1.4e-06,-2.2935225,CX670983
Cit.7768.1.S1_at,0.0001451,1.4e-06,2.0012349,DR405594
Cit.705.1.S1_at,0.0001451,1.41e-06,2.7053026,CX666736
Cit.13936.1.S1_s_at,0.0001451,1.41e-06,1.5739974,CN188179
Cit.16075.1.S1_at,0.0001451,1.42e-06,-1.5693989,CX673535
Cit.34630.1.S1_at,0.0001451,1.42e-06,4.2041549,CX308024
Cit.6780.1.S1_s_at,0.0001457,1.43e-06,-2.211566,CX052326
Cit.18719.1.S1_at,0.0001457,1.43e-06,3.4577322,CX299972
Cit.35568.1.S1_s_at,0.0001457,1.44e-06,2.3791808,CK933958
Cit.21060.1.S1_at,0.000147,1.46e-06,-2.0662915,DN799021
Cit.11435.1.S1_s_at,0.0001473,1.46e-06,2.5207453,DN619965
Cit.10816.1.S1_at,0.0001477,1.48e-06,-2.4252289,AJ489051
Cit.5832.1.S1_at,0.0001477,1.48e-06,-2.1387401,CX074274
Cit.17981.1.S1_s_at,0.0001477,1.49e-06,1.6318499,DN958104
Cit.18556.1.S1_at,0.0001477,1.49e-06,-1.7345123,CX295276
Cit.30881.1.S1_at,0.0001477,1.5e-06,1.5571766,CF504191
Cit.15951.1.S1_at,0.0001477,1.5e-06,1.9707593,CX671683
Cit.10087.1.S1_s_at,0.000148,1.51e-06,-1.7084394,CB292635
Cit.5535.1.S1_s_at,0.0001483,1.51e-06,-1.7822165,CV705558
